system:index,Ave_Wet,CLC_STATE,Den_ID,Fire_Cat,Prec_Tree,dist2build,used,.geo
000000000000000026f5,-0.300775,2211,FP049,B,88,1839.9963676137052,0.0,"{""type"":""Point"",""coordinates"":[-81.027497824383,26.254077807927075]}"
000000000000000026f8,-0.150465,2211,FP049,B,91,2027.4392386600357,0.0,"{""type"":""Point"",""coordinates"":[-81.0102877602356,26.238513623550077]}"
000000000000000026fc,-0.159762,2211,FP049,B,81,764.7231331199865,0.0,"{""type"":""Point"",""coordinates"":[-81.00503988876724,26.250763575834988]}"
000000000000000026fd,-0.321623,2211,FP049,B,67,1296.2736917310608,0.0,"{""type"":""Point"",""coordinates"":[-81.0598825697501,26.25484784798449]}"
00000000000000002700,-0.252617,2211,FP049,B,70,1814.5234602849837,0.0,"{""type"":""Point"",""coordinates"":[-81.02134233757737,26.244697754348277]}"
00000000000000002702,-0.093077,2211,FP049,B,50,4950.439098114193,0.0,"{""type"":""Point"",""coordinates"":[-81.04157385469298,26.223049070362052]}"
00000000000000002708,-0.208706,2211,FP049,B,82,3312.733307986761,0.0,"{""type"":""Point"",""coordinates"":[-81.04289658137017,26.23894235666656]}"
00000000000000002709,-0.25901,2211,FP049,B,73,2696.273284561318,0.0,"{""type"":""Point"",""coordinates"":[-81.03390310357995,26.247182923234845]}"
0000000000000000270c,-0.154234,2211,FP049,B,74,2015.805631654875,0.0,"{""type"":""Point"",""coordinates"":[-81.06471094252593,26.24904588061331]}"
0000000000000000270e,-0.171692,2211,FP049,B,81,1692.1320550508863,0.0,"{""type"":""Point"",""coordinates"":[-81.01420960323333,26.242242426968435]}"
0000000000000000271d,-0.330312,2211,FP049,B,71,1685.3718838643179,0.0,"{""type"":""Point"",""coordinates"":[-81.05100376762,26.25253849732919]}"
00000000000000002727,-0.300775,2211,FP049,B,80,1943.2047130008248,0.0,"{""type"":""Point"",""coordinates"":[-81.02807911939027,26.25290786000718]}"
0000000000000000272c,-0.252617,2211,FP049,B,67,2008.837561793125,0.0,"{""type"":""Point"",""coordinates"":[-81.02556252246139,26.246377865473356]}"
0000000000000000225c,-0.069347,2213,FP049,B,48,4961.847829389768,0.0,"{""type"":""Point"",""coordinates"":[-81.06261943004895,26.213942682002816]}"
000000000000000026e5,-0.321623,2213,FP049,B,65,1464.7147626783694,0.0,"{""type"":""Point"",""coordinates"":[-81.0605628118906,26.25339535376166]}"
000000000000000026f7,-0.25901,2213,FP049,B,88,2962.546944922065,0.0,"{""type"":""Point"",""coordinates"":[-81.03586564859081,26.244641077447827]}"
00000000000000002718,-0.25901,2213,FP049,B,58,3051.869445727712,0.0,"{""type"":""Point"",""coordinates"":[-81.03752528136307,26.243210852860273]}"
00000000000000002725,-0.323727,2220,FP049,B,69,2034.7038799043282,0.0,"{""type"":""Point"",""coordinates"":[-81.03101783240751,26.25681118839757]}"
00000000000000002251,-0.010869,1500,FP049,B,60,3554.3483969767785,0.0,"{""type"":""Point"",""coordinates"":[-81.03185288538788,26.20190026945063]}"
000000000000000026eb,0.025324,1311,FP049,D,75,2924.0312316138256,0.0,"{""type"":""Point"",""coordinates"":[-81.08598402149752,26.241271673229217]}"
000000000000000026ec,0.025324,1311,FP049,D,67,3614.5230458850424,0.0,"{""type"":""Point"",""coordinates"":[-81.08645158407786,26.2350457071807]}"
000000000000000026ed,0.04572,1311,FP049,D,56,4067.137731356789,0.0,"{""type"":""Point"",""coordinates"":[-81.07799519395311,26.23122728090199]}"
0000000000000000270d,0.025324,1311,FP049,D,74,3245.239480718003,0.0,"{""type"":""Point"",""coordinates"":[-81.08784074230918,26.23843784162056]}"
0000000000000000270f,0.059189,1311,FP049,D,96,4456.71808186484,0.0,"{""type"":""Point"",""coordinates"":[-81.08748462942212,26.227470266768126]}"
00000000000000002714,0.070207,1311,FP049,D,84,4129.059678601818,0.0,"{""type"":""Point"",""coordinates"":[-81.09445502446022,26.231199478107634]}"
00000000000000002721,0.025324,1311,FP049,D,68,3473.975226022318,0.0,"{""type"":""Point"",""coordinates"":[-81.08716324557014,26.236336132635063]}"
000000000000000026e6,-0.053019,2120,FP049,D,24,3186.0341267536674,0.0,"{""type"":""Point"",""coordinates"":[-81.07875096651271,26.239151287687513]}"
000000000000000026f1,-0.053019,2120,FP049,D,67,3798.923222231239,0.0,"{""type"":""Point"",""coordinates"":[-81.07622765107834,26.233823387773384]}"
0000000000000000271a,0.04572,2120,FP049,D,75,4043.5608528907505,0.0,"{""type"":""Point"",""coordinates"":[-81.0774337801465,26.23148306642333]}"
000000000000000026f0,-0.09144,2200,FP049,D,88,3359.431167598001,0.0,"{""type"":""Point"",""coordinates"":[-81.01521657509608,26.22698960063513]}"
000000000000000026f6,-0.09144,2200,FP049,D,54,3366.328601086459,0.0,"{""type"":""Point"",""coordinates"":[-81.01428723740652,26.226783517333047]}"
000000000000000026ff,-0.079483,2200,FP049,D,92,3371.3115583666836,0.0,"{""type"":""Point"",""coordinates"":[-81.02565839784614,26.230286973898313]}"
00000000000000002247,-0.042042,2211,FP049,D,65,4747.561044905458,0.0,"{""type"":""Point"",""coordinates"":[-81.08519214996656,26.211775166154812]}"
00000000000000002259,0.017804,2213,FP049,D,67,5157.304327067453,0.0,"{""type"":""Point"",""coordinates"":[-81.08048317140162,26.221284516485042]}"
00000000000000002712,0.04572,2213,FP049,D,78,4235.377533520302,0.0,"{""type"":""Point"",""coordinates"":[-81.07491813040528,26.230009775495443]}"
00000000000000002245,-0.15712,1311,FP049,U,87,4636.890144564279,0.0,"{""type"":""Point"",""coordinates"":[-80.99902078857181,26.215856745651525]}"
0000000000000000224c,-0.130107,1311,FP049,U,70,4059.65875725593,0.0,"{""type"":""Point"",""coordinates"":[-81.00455655418945,26.220325380968927]}"
00000000000000002252,-0.033514,1311,FP049,U,73,4606.188715135652,0.0,"{""type"":""Point"",""coordinates"":[-81.0915264146069,26.210332503570616]}"
00000000000000002255,0.017014,1311,FP049,U,51,2109.3431719463306,0.0,"{""type"":""Point"",""coordinates"":[-81.04734427320666,26.188485370293506]}"
000000000000000026fe,-0.214872,1311,FP049,U,76,3757.9471658128523,0.0,"{""type"":""Point"",""coordinates"":[-81.03772137251836,26.234784383946668]}"
00000000000000002704,-0.403023,1311,FP049,U,100,114.1903384411258,0.0,"{""type"":""Point"",""coordinates"":[-81.05758797489646,26.268779221342868]}"
0000000000000000272a,-0.424779,1311,FP049,U,71,540.2984125949306,0.0,"{""type"":""Point"",""coordinates"":[-81.07150608710928,26.26600301600656]}"
00000000000000002256,-0.004782,2110,FP049,U,64,2187.8392027157693,0.0,"{""type"":""Point"",""coordinates"":[-81.05258077317133,26.189111055613093]}"
000000000000000026e4,0.0201,2110,FP049,U,52,4093.5936493268955,0.0,"{""type"":""Point"",""coordinates"":[-81.06689220463389,26.230287145274584]}"
00000000000000002265,-0.004782,2120,FP049,U,59,2095.924237717333,0.0,"{""type"":""Point"",""coordinates"":[-81.05298280004057,26.18827274277085]}"
00000000000000002266,0.176784,2120,FP049,U,30,1778.679524760206,0.0,"{""type"":""Point"",""coordinates"":[-81.04087005600104,26.18568151680226]}"
00000000000000002264,-0.042042,2200,FP049,U,82,4286.565685146295,0.0,"{""type"":""Point"",""coordinates"":[-81.08963604264306,26.207460634155662]}"
00000000000000002701,-0.069524,2200,FP049,U,84,3568.441819311021,0.0,"{""type"":""Point"",""coordinates"":[-81.06709378711773,26.235154654958812]}"
00000000000000002703,-0.1237,2200,FP049,U,81,2619.1102023325534,0.0,"{""type"":""Point"",""coordinates"":[-81.00480555678259,26.2334042724338]}"
00000000000000002707,-0.208706,2200,FP049,U,90,3488.7465300053345,0.0,"{""type"":""Point"",""coordinates"":[-81.04141007745478,26.237683312128134]}"
0000000000000000271e,-0.069524,2200,FP049,U,83,3478.33100568686,0.0,"{""type"":""Point"",""coordinates"":[-81.06354540115238,26.23542071385404]}"
00000000000000002722,-0.069524,2200,FP049,U,81,3040.750732585676,0.0,"{""type"":""Point"",""coordinates"":[-81.06522761497372,26.239673507955732]}"
0000000000000000271b,-0.321623,2210,FP049,U,83,930.3434701498261,0.0,"{""type"":""Point"",""coordinates"":[-81.06123647059296,26.25837919171074]}"
0000000000000000225d,-0.01845,2211,FP049,U,60,2922.8631658837694,0.0,"{""type"":""Point"",""coordinates"":[-81.0714882084865,26.19613542032793]}"
000000000000000026df,-0.315136,2211,FP049,U,87,1353.2148294324838,0.0,"{""type"":""Point"",""coordinates"":[-81.0380676740629,26.260404157033374]}"
000000000000000026e9,-0.300775,2211,FP049,U,78,1689.5887664031432,0.0,"{""type"":""Point"",""coordinates"":[-81.0278169166696,26.258129588938107]}"
000000000000000026f4,-0.377501,2211,FP049,U,64,918.9496065709,0.0,"{""type"":""Point"",""coordinates"":[-81.04196572235969,26.262572418379474]}"
00000000000000002716,-0.307882,2211,FP049,U,56,982.6479024929499,0.0,"{""type"":""Point"",""coordinates"":[-81.03362617922605,26.269378471782982]}"
00000000000000002719,-0.315136,2211,FP049,U,79,1891.1713875698922,0.0,"{""type"":""Point"",""coordinates"":[-81.031356650811,26.259791728050676]}"
00000000000000002728,-0.377501,2211,FP049,U,86,824.9072202669053,0.0,"{""type"":""Point"",""coordinates"":[-81.03812472631083,26.267665178516364]}"
0000000000000000272b,-0.109028,2211,FP049,U,92,2786.381909262977,0.0,"{""type"":""Point"",""coordinates"":[-81.00763826065634,26.231638186007803]}"
000000000000000026e8,-0.323727,2213,FP049,U,73,1977.4654237937648,0.0,"{""type"":""Point"",""coordinates"":[-81.03287701988282,26.25712452368965]}"
